species	feature_gadolinium_contrast	P.val_individual_gadolinium_contrast	coef_gadolinium_contrast	model_gadolinium_contrast	feature_lesion_burden	P.val_individual_lesion_burden	coef_lesion_burden	model_lesion_burden	feature_spinal_cord_lesion	P.val_individual_spinal_cord_lesion	coef_spinal_cord_lesion	model_spinal_cord_lesion	feature_subtentorial_lesions	P.val_individual_subtentorial_lesions	coef_subtentorial_lesions	model_subtentorial_lesions
Alistipes_senegalensis_abundance	Alistipes_senegalensis	0.634332885673091	0.328797568708896	abundance	Alistipes_senegalensis	0.825946532645073	-0.314866660845356	abundance	Alistipes_senegalensis	0.726101577936623	0.276776405105629	abundance	Alistipes_senegalensis	0.73804456331163	-0.514552943399856	abundance
Alistipes_senegalensis_prevalence	Alistipes_senegalensis	1	-5.11358687362368e-16	prevalence	Alistipes_senegalensis	1	9.20820796872243e-16	prevalence	Alistipes_senegalensis	1	-3.88511828532062e-17	prevalence	Alistipes_senegalensis	0.999999999999999	9.15667224832132e-16	prevalence
Alistipes_shahii_abundance	Alistipes_shahii	0.479848690999336	0.47663881697765	abundance	Alistipes_shahii	0.949124449027064	-0.114622874499702	abundance	Alistipes_shahii	0.4979162637899	0.515057928372045	abundance	Alistipes_shahii	0.79422843966253	0.114268367827564	abundance
Alistipes_shahii_prevalence	Alistipes_shahii	NA	NA	prevalence	Alistipes_shahii	NA	NA	prevalence	Alistipes_shahii	NA	NA	prevalence	Alistipes_shahii	NA	NA	prevalence
Alistipes_sp. dk3624_abundance	Alistipes_sp. dk3624	0.281177307083983	-2.57229029973711	abundance	Alistipes_sp. dk3624	0.619581067402508	-1.23502201409561	abundance	Alistipes_sp. dk3624	0.985022199622214	-0.152986794496976	abundance	Alistipes_sp. dk3624	0.405236243618173	-2.12226320481707	abundance
Alistipes_sp. dk3624_prevalence	Alistipes_sp. dk3624	0.361854288283537	0.657958875196896	prevalence	Alistipes_sp. dk3624	0.535396611516663	-0.402148755644802	prevalence	Alistipes_sp. dk3624	0.608399910961427	-0.306890553800884	prevalence	Alistipes_sp. dk3624	0.352649980846857	-0.578078538595112	prevalence
Alistipes_sp. i18-0019-D1_abundance	Alistipes_sp. i18-0019-D1	0.159999456815339	-2.00780672504514	abundance	Alistipes_sp. i18-0019-D1	0.144894878441071	1.65979753279805	abundance	Alistipes_sp. i18-0019-D1	0.65894014882435	-0.605037728470914	abundance	Alistipes_sp. i18-0019-D1	0.351010755050621	-1.18536003918139	abundance
Alistipes_sp. i18-0019-D1_prevalence	Alistipes_sp. i18-0019-D1	0.659852096073511	0.372025455547132	prevalence	Alistipes_sp. i18-0019-D1	0.133303167161356	-1.19305293204224	prevalence	Alistipes_sp. i18-0019-D1	0.524742924418725	-0.439780836497104	prevalence	Alistipes_sp. i18-0019-D1	0.280692117379473	-0.760866343856143	prevalence
Alistipes_uncultured Alistipes sp._abundance	Alistipes_uncultured Alistipes sp.	0.195013192848153	1.03556567120152	abundance	Alistipes_uncultured Alistipes sp.	0.791346902930831	0.202068150193973	abundance	Alistipes_uncultured Alistipes sp.	0.857643758041436	0.0430624490387708	abundance	Alistipes_uncultured Alistipes sp.	0.715908764779674	0.19458131865721	abundance
Alistipes_uncultured Alistipes sp._prevalence	Alistipes_uncultured Alistipes sp.	0.713962082653965	0.57681451020482	prevalence	Alistipes_uncultured Alistipes sp.	0.387164763407611	1.12282667631597	prevalence	Alistipes_uncultured Alistipes sp.	0.640696138587907	-0.580315632434347	prevalence	Alistipes_uncultured Alistipes sp.	0.495975840839383	-0.826019190140067	prevalence
